"Metric","1_Month","3_Month","6_Month"
"Total Cells","2,364","4,120","2,665"
"Detected Genes (RNA)","20,492","22,025","22,661"
"Detected Isoforms","100,956","103,801","99,999"
"Cell Types","11","9","8"
"Samples/Replicates","2","3","3"
"Median Gene UMI Count","17,726","15,109","17,175"
"Mean Gene UMI Count","20,243","17,659","22,343"
"Median Gene Features/Cell","5,199","5,094","4,860"
"Mean Gene Features/Cell","5,316","5,229","5,338"
"Median Isoform UMI Count","13,468","9,666","10,972"
"Mean Isoform UMI Count","15,410","11,195","15,739"
"Median Isoform Features/Cell","6,536","6,104","6,192"
"Mean Isoform Features/Cell","6,854","6,430","7,161"
"Median % Mitochondrial","2.97%","2.14%","3.99%"
"Mean % Mitochondrial","3.17%","2.72%","4.11%"
